id,date,latitude,longitude,priority,ambulance,start_time,TO_INCIDENT_duration,AT_INCIDENT_duration,TO_HOSPITAL_duration,AT_HOSPITAL_duration,TO_BASE_duration,OTHER_duration,hospital_latitude,hospital_longitude
1,2001-12-15 03:19:13.257460,32.49986726216,-117.034021761395,3,12,2001-12-15 03:19:13.257460,0 days 00:06:27,0 days 00:09:43,0 days 00:02:38,0 days 00:08:42,0 days 00:15:22,0 days,32.724462,-117.048276
2,2001-12-15 03:23:05.736340,32.5481786866929,-116.904236150184,4,10,2001-12-15 03:23:05.736340,0 days 00:04:26,0 days 00:08:40,0 days 00:20:33,0 days 00:05:38,0 days 00:26:38,0 days,32.724462,-117.048276
3,2001-12-15 03:36:22.586775,32.4911681848608,-116.786363757403,4,7,2001-12-15 03:36:22.586775,0 days 00:09:45,0 days 00:08:18,0 days 00:23:40,0 days 00:06:44,0 days 00:31:27,0 days,32.724462,-117.048276
4,2001-12-15 04:13:43.176572,32.5309811162674,-116.805865918561,3,2,2001-12-15 04:13:43.176572,0 days 00:18:11,0 days 00:09:37,0 days 00:22:11,0 days 00:06:42,0 days 00:31:27,0 days,32.724462,-117.048276
5,2001-12-15 04:22:16.286029,32.4572342182162,-116.782261006292,4,3,2001-12-15 04:22:16.286029,0 days 00:18:11,0 days 00:05:25,0 days 00:23:40,0 days 00:06:27,0 days 00:31:27,0 days,32.724462,-117.048276
6,2001-12-15 04:30:26.618336,32.428927066696,-116.830721874745,3,6,2001-12-15 04:30:26.618336,0 days 00:19:14,0 days 00:06:46,0 days 00:23:40,0 days 00:06:30,0 days 00:22:17,0 days,32.724462,-117.048276
7,2001-12-15 04:33:11.638819,32.512219599139,-117.093192803265,4,12,2001-12-15 04:33:11.638819,0 days 00:06:27,0 days 00:09:57,0 days 00:14:17,0 days 00:08:40,0 days 00:15:22,0 days,32.724462,-117.048276
8,2001-12-15 04:58:24.776557,32.5583351717913,-116.751969940876,4,7,2001-12-15 04:58:24.776557,0 days 00:09:45,0 days 00:07:57,0 days 00:22:11,0 days 00:05:37,0 days 00:31:27,0 days,32.724462,-117.048276
9,2001-12-15 05:10:41.421022,32.4758783664453,-116.859032513933,2,4,2001-12-15 05:10:41.421022,0 days 00:12:00,0 days 00:09:40,0 days 00:23:40,0 days 00:05:11,0 days 00:30:21,0 days,32.724462,-117.048276
10,2001-12-15 05:19:01.550957,32.4525283601345,-116.897889281345,3,9,2001-12-15 05:19:01.550957,0 days 00:12:43,0 days 00:09:24,0 days 00:18:40,0 days 00:09:26,0 days 00:16:53,0 days,32.724462,-117.048276
11,2001-12-15 05:30:49.272115,32.5301931255292,-116.906508539713,2,10,2001-12-15 05:30:49.272115,0 days 00:20:33,0 days 00:07:35,0 days 00:22:11,0 days 00:07:51,0 days 00:26:38,0 days,32.724462,-117.048276
12,2001-12-15 05:42:36.077952,32.4634930549358,-116.856071885612,3,2,2001-12-15 05:42:36.077952,0 days 00:03:07,0 days 00:09:16,0 days 00:23:40,0 days 00:06:53,0 days 00:31:27,0 days,32.724462,-117.048276
13,2001-12-15 05:54:34.187004,32.3920659311998,-116.897363867369,2,13,2001-12-15 05:54:34.187004,0 days 00:00:51,0 days 00:09:01,0 days 00:38:37,0 days 00:06:12,0 days 00:44:22,0 days,32.724462,-117.048276
14,2001-12-15 06:15:08.245968,32.4219573467189,-117.00192289176,4,5,2001-12-15 06:15:08.245968,0 days 00:09:15,0 days 00:05:01,0 days 00:27:46,0 days 00:05:12,0 days 00:29:03,0 days,32.724462,-117.048276
15,2001-12-15 06:22:58.430786,32.4526941243845,-116.789664817273,1,7,2001-12-15 06:22:58.430786,0 days 00:09:45,0 days 00:08:24,0 days 00:23:40,0 days 00:08:38,0 days 00:31:27,0 days,32.724462,-117.048276
16,2001-12-15 06:39:37.722004,32.5386614266897,-117.050027686395,4,11,2001-12-15 06:39:37.722004,0 days 00:02:38,0 days 00:09:49,0 days 00:14:17,0 days 00:07:56,0 days 00:14:17,0 days,32.724462,-117.048276
17,2001-12-15 06:52:05.610375,32.4895696235017,-116.96382034652,4,9,2001-12-15 06:52:05.610375,0 days 00:08:30,0 days 00:06:44,0 days 00:19:50,0 days 00:08:33,0 days 00:16:53,0 days,32.724462,-117.048276
18,2001-12-15 06:56:06.423765,32.5137032769585,-116.833367221036,3,3,2001-12-15 06:56:06.423765,0 days 00:18:11,0 days 00:05:35,0 days 00:22:11,0 days 00:05:51,0 days 00:31:27,0 days,32.724462,-117.048276
19,2001-12-15 06:59:00.107290,32.5149391403448,-116.919251471934,4,4,2001-12-15 06:59:00.107290,0 days 00:09:16,0 days 00:07:49,0 days 00:20:33,0 days 00:07:35,0 days 00:30:21,0 days,32.724462,-117.048276
20,2001-12-15 07:11:12.110611,32.517504948686,-116.839803900372,4,2,2001-12-15 07:11:12.110611,0 days 00:09:11,0 days 00:08:01,0 days 00:22:11,0 days 00:07:51,0 days 00:31:27,0 days,32.724462,-117.048276
